test,model,batch_size,C23,column 24,column 25,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input, Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
delta,gemma3,8,,,,49,4.72835,97,815,78175657,15,1689550,40,0,82865234,82926129,82945640,83005564,97,79866067,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.644398;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.669;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:319.432;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.414;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.506;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.009;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.448;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.924;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.881;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53052702720;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
delta,gemma3,8,,,,113,4.74062,322,815,181336812,24,1684445,42,0,190207901,190610104,190633133,190660489,322,183022130,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.642407;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.549;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.266;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.311;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.34;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.93;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.359;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.828;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.807;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53052702720;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
delta,gemma3,8,,,,97,4.74064,72,1158,155764187,20,1686358,41,0,163534784,163971635,163980502,164012220,72,157451755,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.644907;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.563;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.123;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.337;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.328;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.952;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.383;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.866;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.865;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53052702720;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
delta,gemma3,8,,,,65,4.74069,79,831,103994410,14,1687099,39,0,109696595,109814844,109820474,109842098,79,105682382,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.647099;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.798;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.067;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.516;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.588;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.098;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.569;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.014;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:193.021;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53052702720;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
delta,gemma3,8,,,,81,4.7407,82,813,129976665,20,1689798,42,0,136745431,137246348,137260362,137280812,82,131667330,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.642793;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.817;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:319.859;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.552;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.57;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:194.114;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.57;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192.024;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:193.019;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53052702720;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
delta,gemma3,8,,,,1,4.77773,50,812,261,17,1675297,37,0,1671140,1674459,1675107,2196721,50,1676417,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.650077;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.225;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:320.856;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.964;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.011;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.635;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.175;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.876;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.504;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53052702720;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
delta,gemma3,8,,,,17,4.79009,61,780,26091103,22,1668568,39,0,28268541,28731452,28760003,28785845,61,27760503,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.65159;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.136;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.125;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.916;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.053;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.611;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.117;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.799;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.436;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53052702720;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
delta,gemma3,8,,,,33,4.80242,60,828,51664077,21,1668251,41,0,54897523,55351201,55373734,55411670,60,53333209,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.651744;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.497;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.468;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.276;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.442;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.86;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.305;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.913;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.669;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53052702720;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23131586560;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
