model,batch_size,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
gemma3,1,9,0.694438,52,754,6288473,52,6518969,72,0,12923933,13359302,13399259,13434803,52,12808313,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.582346;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.908;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:312.582;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.48;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.907;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.093;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.456;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.221;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.836;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52780072960;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,5,0.695982,51,856,2284733,32,4871369,58,0,7178136,7192284,7663571,7691097,51,7157041,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.583287;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.101;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:312.537;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.681;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.067;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.263;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.613;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.403;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.984;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52780072960;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,17,0.697522,54,894,14498014,62,9955439,100,0,24426258,27270785,30156274,32268901,54,24454502,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.578117;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.67;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:312.448;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.407;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.726;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.333;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.699;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.41;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.963;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52780072960;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,1,0.697524,48,808,279,16,1430808,34,0,1436579,1439044,1440900,1915245,48,1431940,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.582917;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.346;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:312.97;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.887;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.32;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.487;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.743;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.575;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.113;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52780072960;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,13,0.700611,53,744,8714871,81,9812659,101,0,18658478,19049234,19117711,19158586,53,18528450,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.580401;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.575;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:312.225;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.124;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.566;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192.858;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.223;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:190.966;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:191.488;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52780072960;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,1,21,0.702155,53,833,19065293,81,10504357,107,0,29955597,32785985,33253920,34478680,53,29570664,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.588071;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:191.865;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:313.421;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.634;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.866;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.49;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:189.893;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.622;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.221;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:52780072960;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,1,4.49378,51,812,285,17,1774582,38,0,1764935,1773617,1774348,1776334,51,1775727,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.652546;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.166;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.617;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.965;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.119;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.754;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.187;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.902;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.455;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53124005888;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,9,4.49378,52,741,14067495,15,1778192,36,0,15924754,15952716,17002053,17028749,52,15846471,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.657608;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.196;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.347;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:193.063;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:188.132;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.803;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.228;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.971;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.562;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53124005888;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
gemma3,8,13,4.50613,54,775,21104581,15,1774742,36,0,22995126,23032610,24075307,24088521,54,22880139,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.65642;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192.021;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:321.528;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192.886;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:187.972;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:193.681;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:190.135;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:191.861;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192.384;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:46149926912;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:53124005888;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:46149926912;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:46149926912;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:46149926912;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:46149926912;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:44807749632;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:23129489408;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
