model,version,batch_size,concurrency_range,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait,Avg GPU Utilization,Avg GPU Power Usage,Max GPU Memory Usage,Total GPU Memory
meta-llama,1,8,1:24:8,1,2.93824,52,831,268,22,2723448,42,0,2721886,2785112,2790892,2799852,52,2724606,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.0760648;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.0718056;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.0758796;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.0771142;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.0768827;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.0770833;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.0774074;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.0405864;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:263.691;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:247.123;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:263.314;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:255.474;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:261.118;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:256.036;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:262.236;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:253.997;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:88825921536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:66631761920;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:88825921536;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:88825921536;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:88825921536;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:88825921536;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88825921536;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:66732425216;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
meta-llama,1,8,1:24:8,17,11.5554,55,846,6157644,15,5538451,39,0,11677583,12605622,12768200,12982443,55,11696987,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.50034;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.376281;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.491528;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.490725;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.496775;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.499167;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.488457;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.261806;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:325.745;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:266.045;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:324.066;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:314.518;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:320.53;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:314.827;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:323.521;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:285.757;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:88825921536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:66631761920;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:88825921536;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:88825921536;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:88825921536;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:88825921536;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88825921536;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:66732425216;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
meta-llama,1,8,1:24:8,9,11.6294,51,800,687197,14,5511908,38,0,6203613,6671900,6881603,7170982,51,6199950,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.509414;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.380494;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.502762;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.492377;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.497315;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.495108;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.49642;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.266605;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:325.946;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:266.169;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:324.379;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:315.088;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:320.939;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:315.036;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:324.028;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:286.118;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:88825921536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:66631761920;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:88825921536;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:88825921536;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:88825921536;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:88825921536;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88825921536;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:66732425216;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
meta-llama,1,8,1:128:16,1,2.9259,55,815,268,21,2726811,41,0,2732063,2790861,2799348,2819064,55,2727949,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.0757716;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.0711265;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.0762963;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.0759877;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.076821;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.0759568;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.0768519;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.0405864;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:264.57;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:247.529;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:263.983;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:255.779;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:261.558;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:256.436;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:263.051;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:254.902;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:88825921536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:66631761920;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:88825921536;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:88825921536;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:88825921536;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:88825921536;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88825921536;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:66732425216;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
meta-llama,1,8,1:128:16,65,11.5554,59,865,38680503,15,5526779,40,0,44617970,45817191,47283286,48413594,59,44208194,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.493009;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.378241;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.493642;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.485617;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.490293;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.494861;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.488364;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.261975;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:325.991;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:266.551;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:324.237;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:314.714;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:320.564;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:314.817;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:324.144;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:286.63;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:88825921536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:66631761920;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:88825921536;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:88825921536;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:88825921536;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:88825921536;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88825921536;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:66732425216;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
meta-llama,1,8,1:128:16,33,11.5676,57,978,16979190,15,5531213,39,0,22663149,23681522,23898678,24330738,57,22511427,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.494414;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.376358;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.500494;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.49534;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.494506;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.498056;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.487623;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.263565;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:325.357;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:266.192;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:323.525;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:314.117;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:320.043;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:313.973;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:322.91;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:286.338;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:88825921536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:66631761920;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:88825921536;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:88825921536;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:88825921536;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:88825921536;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88825921536;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:66732425216;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
meta-llama,1,8,1:128:16,17,11.5677,56,835,6137581,14,5507000,39,0,11334856,13442378,13754961,14169690,56,11645462,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.494846;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.377515;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.493997;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.491713;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.494105;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.490432;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.496003;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.261651;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:325.26;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:265.842;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:322.972;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:313.804;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:320.002;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:313.805;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:322.456;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:285.645;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:88825921536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:66631761920;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:88825921536;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:88825921536;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:88825921536;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:88825921536;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88825921536;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:66732425216;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
meta-llama,1,8,1:128:16,49,11.6295,86,891,27748320,15,5508881,40,0,33652584,34579710,34870462,35251540,86,33258138,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:0.501157;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:0.380247;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:0.503827;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:0.492022;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:0.498642;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:0.504336;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:0.503596;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:0.265401;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:325.586;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:266.19;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:323.513;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:314.259;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:320.28;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:314.408;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:323.289;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:286.134;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:88825921536;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:66631761920;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:88825921536;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:88825921536;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:88825921536;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:88825921536;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:88825921536;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:66732425216;,GPU-1c734bb9-241d-d316-e881-5d070a9a1425:192265846784;GPU-2deeb77e-df41-879f-7601-d6296d16a8ff:192265846784;GPU-3a4be627-e52a-042d-9cd5-5c1377c672da:192265846784;GPU-5118acb4-22bd-f74f-ea1f-2c8cfe790a1d:192265846784;GPU-a27c88e4-e53e-7d6a-3abd-07b141b57ce6:192265846784;GPU-a2848da1-0f8a-a8cf-c763-0ef502d06fec:192265846784;GPU-da4fcc29-b899-580b-92b6-f0cb14f70f21:192265846784;GPU-e7cda51a-7d52-6ed3-329d-5434ddea4232:192265846784;
